                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1584,                 3.4944,                  1.524,                0.00403,                      1,                0.16136,                0.09745,                0.96501,                 3.8945,                 1.6291,             0.00019998,             0.00019998,             0.00019998
                      2,                 1.0261,                 2.7487,                  1.373,                0.00405,                 0.9931,                0.27769,                0.20042,                  1.091,                 3.7783,                 1.7356,             0.00040293,             0.00040293,             0.00040293
                      3,                 1.0657,                 2.4761,                 1.4001,                0.43096,                0.38896,                0.45388,                0.30439,                 1.2137,                 3.2478,                 1.8784,             0.00059752,             0.00059752,             0.00059752
                      4,                 1.0288,                 2.3389,                 1.3587,                0.27657,                0.65616,                0.35015,                0.25667,                 1.0443,                 2.9379,                  1.735,             0.00078375,             0.00078375,             0.00078375
                      5,                 1.0805,                 2.2286,                 1.3914,                0.40947,                0.71812,                0.47967,                0.33786,                 1.1658,                 3.0129,                 1.9364,             0.00096163,             0.00096163,             0.00096163
                      6,                 1.1073,                 2.3115,                 1.4292,                0.69972,                    0.4,                0.49655,                0.28868,                 1.4758,                 3.8738,                 2.3022,               0.001001,               0.001001,               0.001001
                      7,                0.96254,                 2.0604,                 1.2993,                0.30075,                0.41751,                 0.3907,                0.27926,                 1.2404,                 3.1082,                 2.0464,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.0119,                 2.0194,                 1.3336,                0.57044,                0.43378,                0.40447,                0.28068,                 1.2639,                 3.2792,                 2.0127,             0.00095702,             0.00095702,             0.00095702
                      9,                0.94103,                 1.8251,                 1.2564,                0.46405,                0.44331,                0.46875,                0.32781,                 1.1291,                 2.6017,                 1.8389,             0.00093502,             0.00093502,             0.00093502
                     10,                0.97937,                 1.9031,                 1.3125,                0.42471,                0.66171,                0.52218,                0.36701,                 1.0769,                  2.663,                 1.6653,             0.00091302,             0.00091302,             0.00091302
                     11,                0.96064,                 1.7921,                 1.2887,                0.50285,                0.68107,                0.59055,                0.41798,                 1.0812,                 2.1399,                 1.8574,             0.00089102,             0.00089102,             0.00089102
                     12,                0.97232,                 1.7368,                 1.2853,                0.74392,                0.43491,                0.62051,                0.47833,                 1.0979,                 2.1244,                 1.6874,             0.00086902,             0.00086902,             0.00086902
                     13,                0.94113,                 1.5923,                 1.2472,                0.60332,                0.70958,                0.68565,                0.54367,                0.99768,                 1.7638,                 1.5728,             0.00084703,             0.00084703,             0.00084703
                     14,                0.91991,                 1.5313,                  1.264,                0.59785,                0.71092,                0.66955,                0.50697,                 1.0599,                 1.7637,                 1.6129,             0.00082503,             0.00082503,             0.00082503
                     15,                0.84761,                 1.4411,                  1.221,                0.64896,                 0.5546,                0.61509,                0.44232,                 1.0654,                 1.9523,                 1.6384,             0.00080303,             0.00080303,             0.00080303
